
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Nov 3 2004,7:00p EST,,Box Score,@,Memphis Grizzlies,W,,103,91,1,0,W 1,
2,Thu Nov 4 2004,7:00p EST,,Box Score,@,Charlotte Bobcats,W,,103,96,2,0,W 2,
3,Sat Nov 6 2004,7:00p EST,,Box Score,,Miami Heat,L,,106,118,2,1,L 1,
4,Tue Nov 9 2004,7:30p EST,,Box Score,@,Miami Heat,L,,93,103,2,2,L 2,
5,Wed Nov 10 2004,7:00p EST,,Box Score,,Orlando Magic,W,,106,96,3,2,W 1,
6,Sat Nov 13 2004,1:00p EST,,Box Score,@,Cleveland Cavaliers,L,,74,105,3,3,L 1,
7,Sun Nov 14 2004,1:00p EST,,Box Score,,Dallas Mavericks,L,,113,122,3,4,L 2,
8,Wed Nov 17 2004,7:00p EST,,Box Score,,Boston Celtics,W,OT,110,105,4,4,W 1,
9,Sat Nov 20 2004,8:00p EST,,Box Score,@,New Jersey Nets,W,,97,86,5,4,W 2,
10,Tue Nov 23 2004,7:00p EST,,Box Score,,Toronto Raptors,W,,102,86,6,4,W 3,
11,Fri Nov 26 2004,1:00p EST,,Box Score,@,Philadelphia 76ers,L,OT,114,116,6,5,L 1,
12,Sun Nov 28 2004,3:00p EST,,Box Score,@,Toronto Raptors,W,OT,114,109,7,5,W 1,
13,Wed Dec 1 2004,7:00p EST,,Box Score,,New Jersey Nets,W,,95,68,8,5,W 2,
14,Fri Dec 3 2004,7:30p EST,,Box Score,@,Atlanta Hawks,W,,114,90,9,5,W 3,
15,Sat Dec 4 2004,8:00p EST,,Box Score,,Chicago Bulls,W,,95,88,10,5,W 4,
16,Wed Dec 8 2004,7:00p EST,,Box Score,,Denver Nuggets,L,,105,111,10,6,L 1,
17,Fri Dec 10 2004,7:00p EST,,Box Score,,New York Knicks,W,,106,104,11,6,W 1,
18,Sun Dec 12 2004,1:00p EST,,Box Score,,New Orleans Hornets,W,,88,69,12,6,W 2,
19,Mon Dec 13 2004,7:30p EST,,Box Score,@,Miami Heat,L,,83,106,12,7,L 1,
20,Wed Dec 15 2004,7:00p EST,,Box Score,,Miami Heat,L,,93,98,12,8,L 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Fri Dec 17 2004,7:30p EST,,Box Score,@,Los Angeles Lakers,W,OT,120,116,13,8,W 1,
22,Sat Dec 18 2004,7:00p EST,,Box Score,@,Phoenix Suns,L,,96,110,13,9,L 1,
23,Mon Dec 20 2004,7:30p EST,,Box Score,@,Golden State Warriors,W,,103,101,14,9,W 1,
24,Tue Dec 21 2004,7:00p EST,,Box Score,@,Sacramento Kings,L,,93,104,14,10,L 1,
25,Sun Dec 26 2004,7:00p EST,,Box Score,@,Minnesota Timberwolves,L,,74,109,14,11,L 2,
26,Mon Dec 27 2004,7:00p EST,,Box Score,,Charlotte Bobcats,W,,106,87,15,11,W 1,
27,Wed Dec 29 2004,7:00p EST,,Box Score,,Detroit Pistons,L,,105,107,15,12,L 1,
28,Fri Dec 31 2004,3:00p EST,,Box Score,@,Boston Celtics,L,,103,108,15,13,L 2,
29,Sun Jan 2 2005,12:00p EST,,Box Score,,Atlanta Hawks,W,,104,101,16,13,W 1,
30,Tue Jan 4 2005,7:00p EST,,Box Score,,New Jersey Nets,W,,112,88,17,13,W 2,
31,Thu Jan 6 2005,7:00p EST,,Box Score,,Seattle SuperSonics,W,,107,96,18,13,W 3,
32,Sat Jan 8 2005,7:00p EST,,Box Score,,Minnesota Timberwolves,W,,117,114,19,13,W 4,
33,Wed Jan 12 2005,7:00p EST,,Box Score,,Portland Trail Blazers,W,,104,100,20,13,W 5,
34,Fri Jan 14 2005,7:30p EST,,Box Score,@,Milwaukee Bucks,W,,105,103,21,13,W 6,
35,Sat Jan 15 2005,7:00p EST,,Box Score,,Phoenix Suns,W,,108,103,22,13,W 7,
36,Mon Jan 17 2005,4:00p EST,,Box Score,@,San Antonio Spurs,L,,73,101,22,14,L 1,
37,Tue Jan 18 2005,7:30p EST,,Box Score,@,Dallas Mavericks,L,,120,137,22,15,L 2,
38,Fri Jan 21 2005,7:00p EST,,Box Score,,Toronto Raptors,W,,118,109,23,15,W 1,
39,Sat Jan 22 2005,8:00p EST,,Box Score,@,Indiana Pacers,W,,95,93,24,15,W 2,
40,Mon Jan 24 2005,7:00p EST,,Box Score,@,Cleveland Cavaliers,W,,106,97,25,15,W 3,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,Wed Jan 26 2005,7:00p EST,,Box Score,,Philadelphia 76ers,W,,117,107,26,15,W 4,
42,Fri Jan 28 2005,7:00p EST,,Box Score,@,Orlando Magic,L,,101,108,26,16,L 1,
43,Sat Jan 29 2005,7:00p EST,,Box Score,,Orlando Magic,L,,97,103,26,17,L 2,
44,Tue Feb 1 2005,7:00p EST,,Box Score,,Detroit Pistons,L,,96,105,26,18,L 3,
45,Fri Feb 4 2005,7:00p EST,,Box Score,@,Toronto Raptors,L,,100,103,26,19,L 4,
46,Sat Feb 5 2005,7:00p EST,,Box Score,,Milwaukee Bucks,W,,112,94,27,19,W 1,
47,Mon Feb 7 2005,7:00p EST,,Box Score,,Indiana Pacers,W,,108,104,28,19,W 2,
48,Wed Feb 9 2005,7:00p EST,,Box Score,,San Antonio Spurs,W,,95,87,29,19,W 3,
49,Fri Feb 11 2005,7:00p EST,,Box Score,,Los Angeles Clippers,W,,94,91,30,19,W 4,
50,Sat Feb 12 2005,7:30p EST,,Box Score,@,Detroit Pistons,L,,86,107,30,20,L 1,
51,Mon Feb 14 2005,7:00p EST,,Box Score,@,New Orleans Hornets,L,,96,98,30,21,L 2,
52,Tue Feb 15 2005,7:30p EST,,Box Score,@,Houston Rockets,L,,93,123,30,22,L 3,
53,Wed Feb 23 2005,7:00p EST,,Box Score,,Memphis Grizzlies,W,,93,83,31,22,W 1,
54,Fri Feb 25 2005,7:30p EST,,Box Score,@,Chicago Bulls,L,,90,97,31,23,L 1,
55,Sun Feb 27 2005,6:00p EST,,Box Score,,Sacramento Kings,L,,108,110,31,24,L 2,
56,Wed Mar 2 2005,7:00p EST,,Box Score,,Houston Rockets,W,,101,98,32,24,W 1,
57,Fri Mar 4 2005,7:00p EST,,Box Score,,Golden State Warriors,L,,90,103,32,25,L 1,
58,Sat Mar 5 2005,7:00p EST,,Box Score,@,Charlotte Bobcats,W,,86,84,33,25,W 1,
59,Tue Mar 8 2005,7:30p EST,,Box Score,@,New York Knicks,L,,83,93,33,26,L 1,
60,Sun Mar 13 2005,6:00p EST,,Box Score,@,Boston Celtics,L,,101,105,33,27,L 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
61,Mon Mar 14 2005,7:00p EST,,Box Score,,Los Angeles Lakers,W,,95,81,34,27,W 1,
62,Wed Mar 16 2005,7:30p EST,,Box Score,@,Atlanta Hawks,W,,122,93,35,27,W 2,
63,Fri Mar 18 2005,7:30p EST,,Box Score,@,Milwaukee Bucks,L,,90,99,35,28,L 1,
64,Sat Mar 19 2005,7:00p EST,,Box Score,,Utah Jazz,W,,96,95,36,28,W 1,
65,Tue Mar 22 2005,7:00p EST,,Box Score,@,Denver Nuggets,L,,98,127,36,29,L 1,
66,Thu Mar 24 2005,7:00p EST,,Box Score,@,Utah Jazz,W,,85,84,37,29,W 1,
67,Fri Mar 25 2005,7:30p EST,,Box Score,@,Los Angeles Clippers,L,,94,98,37,30,L 1,
68,Sun Mar 27 2005,5:00p EST,,Box Score,@,Seattle SuperSonics,W,,95,94,38,30,W 1,
69,Mon Mar 28 2005,7:00p EST,,Box Score,@,Portland Trail Blazers,W,,114,106,39,30,W 2,
70,Wed Mar 30 2005,7:00p EST,,Box Score,,Atlanta Hawks,W,,102,99,40,30,W 3,
71,Fri Apr 1 2005,7:00p EST,,Box Score,@,Orlando Magic,W,,111,102,41,30,W 4,
72,Sun Apr 3 2005,1:00p EST,,Box Score,,Indiana Pacers,L,,76,79,41,31,L 1,
73,Tue Apr 5 2005,7:00p EST,,Box Score,,Boston Celtics,L,,108,116,41,32,L 2,
74,Wed Apr 6 2005,7:30p EST,,Box Score,@,Detroit Pistons,L,,93,105,41,33,L 3,
75,Fri Apr 8 2005,7:00p EST,,Box Score,@,Indiana Pacers,L,,83,93,41,34,L 4,
76,Sat Apr 9 2005,7:00p EST,,Box Score,,Philadelphia 76ers,L,,106,112,41,35,L 5,
77,Mon Apr 11 2005,7:00p EST,,Box Score,,Milwaukee Bucks,W,,119,112,42,35,W 1,
78,Wed Apr 13 2005,8:00p EST,,Box Score,,Chicago Bulls,W,,93,82,43,35,W 2,
79,Fri Apr 15 2005,8:00p EST,,Box Score,,Cleveland Cavaliers,W,,119,111,44,35,W 3,
80,Sun Apr 17 2005,1:00p EST,,Box Score,,Charlotte Bobcats,W,,106,104,45,35,W 4,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
81,Tue Apr 19 2005,7:30p EST,,Box Score,@,New Jersey Nets,L,,101,109,45,36,L 1,
82,Wed Apr 20 2005,7:30p EST,,Box Score,@,New York Knicks,L,,105,113,45,37,L 2,
