
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Fri Nov 3 1989,,,Box Score,@,Chicago Bulls,L,OT,119,124,0,1,L 1,
2,Sat Nov 4 1989,,,Box Score,@,Indiana Pacers,L,,98,106,0,2,L 2,
3,Wed Nov 8 1989,,,Box Score,,Orlando Magic,L,OT,110,117,0,3,L 3,
4,Fri Nov 10 1989,,,Box Score,@,Washington Bullets,L,,92,100,0,4,L 4,at Baltimore MD
5,Sat Nov 11 1989,,,Box Score,,Boston Celtics,W,,104,101,1,4,W 1,
6,Tue Nov 14 1989,,,Box Score,@,New Jersey Nets,W,,103,92,2,4,W 2,
7,Wed Nov 15 1989,,,Box Score,,Golden State Warriors,W,,129,104,3,4,W 3,
8,Fri Nov 17 1989,,,Box Score,,Atlanta Hawks,W,OT,131,125,4,4,W 4,
9,Wed Nov 22 1989,,,Box Score,,New York Knicks,W,,97,85,5,4,W 5,
10,Fri Nov 24 1989,,,Box Score,@,Detroit Pistons,L,,82,101,5,5,L 1,
11,Sat Nov 25 1989,,,Box Score,,Houston Rockets,L,,75,85,5,6,L 2,
12,Tue Nov 28 1989,,,Box Score,,Washington Bullets,W,,92,91,6,6,W 1,
13,Wed Nov 29 1989,,,Box Score,@,Philadelphia 76ers,L,,84,114,6,7,L 1,
14,Fri Dec 1 1989,,,Box Score,@,Boston Celtics,L,,89,102,6,8,L 2,
15,Sat Dec 2 1989,,,Box Score,,Minnesota Timberwolves,L,,74,101,6,9,L 3,
16,Tue Dec 5 1989,,,Box Score,,Utah Jazz,L,,80,94,6,10,L 4,
17,Thu Dec 7 1989,,,Box Score,@,Los Angeles Clippers,L,,88,105,6,11,L 5,
18,Sat Dec 9 1989,,,Box Score,@,Sacramento Kings,W,,108,101,7,11,W 1,
19,Mon Dec 11 1989,,,Box Score,@,Utah Jazz,W,OT,113,110,8,11,W 2,
20,Wed Dec 13 1989,,,Box Score,,Milwaukee Bucks,W,,99,93,9,11,W 3,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Fri Dec 15 1989,,,Box Score,,Seattle SuperSonics,W,,120,101,10,11,W 4,
22,Wed Dec 20 1989,,,Box Score,,Denver Nuggets,L,,89,104,10,12,L 1,
23,Fri Dec 22 1989,,,Box Score,@,Milwaukee Bucks,L,,100,112,10,13,L 2,
24,Mon Dec 25 1989,,,Box Score,@,Atlanta Hawks,L,,104,115,10,14,L 3,
25,Wed Dec 27 1989,,,Box Score,,Detroit Pistons,L,,82,99,10,15,L 4,
26,Thu Dec 28 1989,,,Box Score,@,Charlotte Hornets,L,,92,94,10,16,L 5,
27,Sat Dec 30 1989,,,Box Score,,Phoenix Suns,W,,110,102,11,16,W 1,
28,Wed Jan 3 1990,,,Box Score,,Chicago Bulls,L,,87,93,11,17,L 1,
29,Fri Jan 5 1990,,,Box Score,,Washington Bullets,W,,119,107,12,17,W 1,
30,Sat Jan 6 1990,,,Box Score,@,Orlando Magic,W,,123,112,13,17,W 2,
31,Wed Jan 10 1990,,,Box Score,,Milwaukee Bucks,L,,100,116,13,18,L 1,
32,Fri Jan 12 1990,,,Box Score,@,Philadelphia 76ers,W,,113,102,14,18,W 1,
33,Sat Jan 13 1990,,,Box Score,,New Jersey Nets,W,,98,96,15,18,W 2,
34,Mon Jan 15 1990,,,Box Score,,San Antonio Spurs,W,,92,89,16,18,W 3,
35,Wed Jan 17 1990,,,Box Score,@,Houston Rockets,L,,98,107,16,19,L 1,
36,Fri Jan 19 1990,,,Box Score,@,San Antonio Spurs,L,,101,104,16,20,L 2,
37,Sat Jan 20 1990,,,Box Score,@,Dallas Mavericks,L,OT,96,105,16,21,L 3,
38,Tue Jan 23 1990,,,Box Score,,Philadelphia 76ers,L,,88,103,16,22,L 4,
39,Wed Jan 24 1990,,,Box Score,@,Atlanta Hawks,L,,86,103,16,23,L 5,
40,Fri Jan 26 1990,,,Box Score,@,Minnesota Timberwolves,W,,85,84,17,23,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,Sat Jan 27 1990,,,Box Score,@,Indiana Pacers,W,,91,84,18,23,W 2,
42,Tue Jan 30 1990,,,Box Score,@,Miami Heat,W,,106,94,19,23,W 3,
43,Sat Feb 3 1990,,,Box Score,,Detroit Pistons,L,,100,105,19,24,L 1,
44,Mon Feb 5 1990,,,Box Score,,Los Angeles Clippers,W,,100,84,20,24,W 1,
45,Tue Feb 6 1990,,,Box Score,@,Detroit Pistons,L,,96,105,20,25,L 1,
46,Thu Feb 8 1990,,,Box Score,,Miami Heat,W,,106,82,21,25,W 1,
47,Wed Feb 14 1990,,,Box Score,,Indiana Pacers,L,OT,131,133,21,26,L 1,
48,Fri Feb 16 1990,,,Box Score,,Atlanta Hawks,W,,109,101,22,26,W 1,
49,Sat Feb 17 1990,,,Box Score,@,New York Knicks,L,OT,108,119,22,27,L 1,
50,Mon Feb 19 1990,,,Box Score,,Dallas Mavericks,L,,87,96,22,28,L 2,
51,Wed Feb 21 1990,,,Box Score,,Portland Trail Blazers,W,,121,109,23,28,W 1,
52,Fri Feb 23 1990,,,Box Score,,Orlando Magic,W,,123,96,24,28,W 2,
53,Sun Feb 25 1990,,,Box Score,,Charlotte Hornets,W,,102,86,25,28,W 3,
54,Tue Feb 27 1990,,,Box Score,@,Portland Trail Blazers,L,,105,118,25,29,L 1,
55,Thu Mar 1 1990,,,Box Score,@,Denver Nuggets,L,,125,131,25,30,L 2,
56,Fri Mar 2 1990,,,Box Score,@,Los Angeles Lakers,L,,93,124,25,31,L 3,
57,Sun Mar 4 1990,,,Box Score,@,Phoenix Suns,L,,96,108,25,32,L 4,
58,Tue Mar 6 1990,,,Box Score,@,Seattle SuperSonics,L,,90,95,25,33,L 5,
59,Thu Mar 8 1990,,,Box Score,@,Golden State Warriors,L,,105,145,25,34,L 6,
60,Sun Mar 11 1990,,,Box Score,@,Milwaukee Bucks,W,,107,96,26,34,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
61,Tue Mar 13 1990,,,Box Score,,Philadelphia 76ers,W,,119,102,27,34,W 2,
62,Thu Mar 15 1990,,,Box Score,,Los Angeles Lakers,W,,112,96,28,34,W 3,
63,Sat Mar 17 1990,,,Box Score,,Indiana Pacers,W,,118,102,29,34,W 4,
64,Sun Mar 18 1990,,,Box Score,@,Orlando Magic,W,,120,103,30,34,W 5,
65,Wed Mar 21 1990,,,Box Score,@,Boston Celtics,L,,114,123,30,35,L 1,
66,Fri Mar 23 1990,,,Box Score,@,Chicago Bulls,L,,95,102,30,36,L 2,
67,Sat Mar 24 1990,,,Box Score,,New Jersey Nets,W,,115,108,31,36,W 1,
68,Mon Mar 26 1990,,,Box Score,,Sacramento Kings,W,,116,95,32,36,W 2,
69,Wed Mar 28 1990,,,Box Score,,Chicago Bulls,L,OT,113,117,32,37,L 1,
70,Fri Mar 30 1990,,,Box Score,@,Miami Heat,W,,105,104,33,37,W 1,
71,Sun Apr 1 1990,,,Box Score,,Indiana Pacers,W,,121,91,34,37,W 2,
72,Tue Apr 3 1990,,,Box Score,@,New York Knicks,L,,97,106,34,38,L 1,
73,Wed Apr 4 1990,,,Box Score,,Atlanta Hawks,W,,101,95,35,38,W 1,
74,Fri Apr 6 1990,,,Box Score,,Boston Celtics,L,,104,109,35,39,L 1,
75,Sun Apr 8 1990,,,Box Score,,Detroit Pistons,W,,100,97,36,39,W 1,
76,Wed Apr 11 1990,,,Box Score,@,Chicago Bulls,L,,86,107,36,40,L 1,
77,Thu Apr 12 1990,,,Box Score,@,Washington Bullets,W,,102,100,37,40,W 1,
78,Sat Apr 14 1990,,,Box Score,,Miami Heat,W,,93,85,38,40,W 2,
79,Tue Apr 17 1990,,,Box Score,@,Milwaukee Bucks,W,,96,88,39,40,W 3,
